host.name,host.id,process.name,process.id,process.type,reportedLibs,nbrOfLibs,lastRestart,firstSeen,lastSeen,agentVersion,memoryTotal,monitoringMode
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,order.staging (order-8445bb776f-pj544),PROCESS_GROUP_INSTANCE-32D000A2A1F2AC22,JAVA,Y,58,,2022-09-09 11:41:00,2023-01-16 17:47:00,1.249.175.20220906-135540,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,profile-service.unguard (unguard-profile-service-6496856677-7fzxn),PROCESS_GROUP_INSTANCE-48A548046F30671E,JAVA,Y,41,2022-10-26 01:51:21,2022-10-17 09:48:00,2023-01-16 17:50:00,1.253.132.20221019-171623,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,petclinic.petclinic (petclinic-8544c84694-7rftq),PROCESS_GROUP_INSTANCE-67DDFF0BFC928C4F,JAVA,Y,56,,2022-09-09 11:40:00,2023-01-16 17:47:00,1.249.175.20220906-135540,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,microblog-service.unguard (unguard-microblog-service-85787797dc-wv9d2),PROCESS_GROUP_INSTANCE-70E5C8E25E84ECC1,JAVA,Y,50,,2022-10-17 09:48:00,2023-01-16 17:50:00,1.253.84.20221014-133702,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,aspnetapp-image.default (aspnetapp),PROCESS_GROUP_INSTANCE-7521A586E8F88B71,DOTNET,Y,130,,2022-10-17 11:56:00,2023-01-16 17:47:00,1.253.84.20221014-133702,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,ad-service.unguard (unguard-ad-service-76b66ff67b-qn96v),PROCESS_GROUP_INSTANCE-956B5DA4AA208CAC,DOTNET,Y,137,,2022-10-17 09:48:00,2023-01-16 17:47:00,1.253.84.20221014-133702,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,main.unguard (unguard-user-simulator-64d67c9d4b-qrdq8),PROCESS_GROUP_INSTANCE-9AF460616BE31A80,NODE_JS,Y,462,2022-10-26 18:14:12,2022-10-17 09:49:00,2023-01-16 17:50:00,1.253.132.20221019-171623,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,petclinic.default (petclinic-f7b6849ff-mp7k5),PROCESS_GROUP_INSTANCE-9E5EE824E9799DAB,JAVA,Y,54,,2022-06-24 07:20:00,2023-01-16 17:47:00,1.243.160.20220623-102226,16786747392,FULL_STACK
aks-agentpool-18590084-vmss000001.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-41B1069A68714C8D,frontend.staging (frontend-5dbf767764-qg9gh),PROCESS_GROUP_INSTANCE-A049E2F374B224CB,NODE_JS,Y,97,,2022-09-09 11:41:00,2023-01-16 17:47:00,1.249.175.20220906-135540,16786747392,FULL_STACK
ip-192-168-5-94.eu-west-1.compute.internal,HOST-80B8FA73E41387C7,bridge.keptn (bridge-6bbb5688b5-b29lb),PROCESS_GROUP_INSTANCE-141C081A48A54F41,NODE_JS,Y,86,,2023-01-10 11:48:00,2023-01-16 17:51:00,1.257.170.20230109-121817,8237281280,FULL_STACK
ip-192-168-5-94.eu-west-1.compute.internal,HOST-80B8FA73E41387C7,petclinic.petclinic (petclinic-596ccbc9f6-n7jq4),PROCESS_GROUP_INSTANCE-844BC4039E120DB1,JAVA,Y,56,,2023-01-10 11:47:00,2023-01-16 17:51:00,1.257.170.20230109-121817,8237281280,FULL_STACK
ip-192-168-5-94.eu-west-1.compute.internal,HOST-80B8FA73E41387C7,petclinic-l*j.appsec-staging (petclinic-l4j-84857cc9b6-9rrwm),PROCESS_GROUP_INSTANCE-D7FF9ED19564CC40,JAVA,Y,54,,2023-01-10 11:30:00,2023-01-16 17:51:00,1.257.170.20230109-121817,8237281280,FULL_STACK
ip-172-31-7-211.eu-west-1.compute.internal,HOST-8230097E7D09F67D,marshalsec.jndi.LDAPRefServer,PROCESS_GROUP_INSTANCE-087CF499DBC25742,JAVA,Y,1,2023-01-13 12:36:44,2022-12-14 17:11:00,2023-01-16 17:50:00,1.257.184.20230112-182405,33292881920,FULL_STACK
ip-172-31-7-211.eu-west-1.compute.internal,HOST-8230097E7D09F67D,dashboard.ace (dashboard-646c6bd867-pkvwf),PROCESS_GROUP_INSTANCE-363F24CE8F319DAB,NODE_JS,Y,47,,2022-12-14 17:12:00,2023-01-16 17:50:00,1.257.94.20221212-142205,33292881920,FULL_STACK
ip-172-31-7-211.eu-west-1.compute.internal,HOST-8230097E7D09F67D,org.apache.maven.cli.MavenCli,PROCESS_GROUP_INSTANCE-38B7D83B01C38375,JAVA,Y,60,2023-01-13 12:33:52,2022-12-14 17:10:00,2023-01-16 17:47:00,1.257.184.20230112-182405,33292881920,FULL_STACK
ip-172-31-7-211.eu-west-1.compute.internal,HOST-8230097E7D09F67D,user-auth-service.unguard (unguard-user-auth-service-787465b678-47z42),PROCESS_GROUP_INSTANCE-46C39157FE62BB99,NODE_JS,Y,101,,2022-12-22 09:37:00,2023-01-16 17:47:00,1.257.143.20221220-152546,33292881920,FULL_STACK
ip-172-31-7-211.eu-west-1.compute.internal,HOST-8230097E7D09F67D,tomcat*x,PROCESS_GROUP_INSTANCE-52E961467FB28673,JAVA,Y,37,2023-01-13 12:33:52,2022-12-14 17:11:00,2023-01-16 17:47:00,1.257.184.20230112-182405,33292881920,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,bridge.keptn (bridge-7ffb75bf96-stqk9),PROCESS_GROUP_INSTANCE-02F551D4F484CBFF,NODE_JS,Y,103,,2022-09-30 07:48:00,2023-01-16 17:48:00,1.251.146.20220929-142108,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,proxy-service.unguard (unguard-proxy-service-9dfcb77cb-ltkxs),PROCESS_GROUP_INSTANCE-3A780F674B690861,JAVA,Y,41,,2022-10-17 09:48:00,2023-01-16 17:51:00,1.253.84.20221014-133702,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,load-traffic.staging (load-traffic-5659b6f897-wzs9s),PROCESS_GROUP_INSTANCE-41B91404559A9F23,JAVA,Y,29,2023-01-15 10:33:54,2022-09-09 11:43:00,2023-01-16 17:48:00,1.257.191.20230113-100449,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,customer.staging (customer-595b55fff4-2m5rh),PROCESS_GROUP_INSTANCE-51C3AAA5B61DB114,JAVA,Y,61,,2022-09-09 11:41:00,2023-01-16 17:48:00,1.249.175.20220906-135540,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,petclinic.default (petclinic-f7b6849ff-vqs2v),PROCESS_GROUP_INSTANCE-68CC89806DC49C4A,JAVA,Y,54,,2022-06-24 07:20:00,2023-01-16 17:51:00,1.243.160.20220623-102226,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,catalog.staging (catalog-76685f44d6-8jnwj),PROCESS_GROUP_INSTANCE-6D04933AEEAE988F,JAVA,Y,58,,2022-09-09 11:41:00,2023-01-16 17:48:00,1.249.175.20220906-135540,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,main.unguard (unguard-user-simulator-64d67c9d4b-6v4sx),PROCESS_GROUP_INSTANCE-7CCDC21B73FF7675,NODE_JS,Y,462,2022-10-29 23:02:34,2022-10-17 09:49:00,2023-01-16 17:51:00,1.253.178.20221028-125510,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,user-auth-service.unguard (unguard-user-auth-service-65c988455f-9cv2g),PROCESS_GROUP_INSTANCE-829095373F8DDA56,NODE_JS,Y,100,2022-10-26 01:40:31,2022-10-17 09:48:00,2023-01-16 17:50:00,1.253.132.20221019-171623,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,main.unguard (unguard-user-simulator-64d67c9d4b-z2lk5),PROCESS_GROUP_INSTANCE-89B237DE5AAF4D37,NODE_JS,Y,462,2022-10-26 00:44:05,2022-10-17 09:49:00,2023-01-16 17:48:00,1.253.132.20221019-171623,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,petclinic.petclinic (petclinic-8544c84694-thhcv),PROCESS_GROUP_INSTANCE-9D772B468AFA25A9,JAVA,Y,56,,2022-09-09 11:40:00,2023-01-16 17:52:00,1.249.175.20220906-135540,16786743296,FULL_STACK
aks-agentpool-18590084-vmss000000.fc0pvg0nvkzuzemf4rfw2h5ioa.ax.internal.cloudapp.net,HOST-BEC704188F5D8930,frontend.unguard (unguard-frontend-f6f48b9fb-dplmv),PROCESS_GROUP_INSTANCE-C4B1B12D365C1EE0,NODE_JS,Y,149,,2022-10-17 09:48:00,2023-01-16 17:52:00,1.253.84.20221014-133702,16786743296,FULL_STACK
perform-appsec,HOST-C3A8FFC2BEA1D40A,tomcat*x,PROCESS_GROUP_INSTANCE-284EACFDCADDDF7C,JAVA,Y,37,2023-01-06 21:44:04,2022-12-02 15:09:00,2023-01-16 17:50:00,1.257.184.20230112-182405,2031833088,FULL_STACK
perform-appsec,HOST-C3A8FFC2BEA1D40A,org.apache.maven.cli.MavenCli,PROCESS_GROUP_INSTANCE-C7F5DA341FDE9F0F,JAVA,Y,60,2023-01-12 21:38:54,2022-12-02 15:07:59,2023-01-16 17:51:00,1.257.184.20230112-182405,2031833088,FULL_STACK
perform-appsec,HOST-C3A8FFC2BEA1D40A,marshalsec.jndi.LDAPRefServer,PROCESS_GROUP_INSTANCE-E7F1059E78C5EC86,JAVA,Y,1,2023-01-06 21:43:52,2022-12-08 12:39:51,2023-01-16 17:52:00,1.257.175.20230110-131906,2031833088,FULL_STACK
ip-192-168-75-138.eu-west-1.compute.internal,HOST-E901CECDEB61E2D6,petclinic.petclinic (petclinic-596ccbc9f6-74pc9),PROCESS_GROUP_INSTANCE-15149F328E9C875B,JAVA,Y,56,,2023-01-10 11:06:00,2023-01-16 17:50:00,1.257.170.20230109-121817,8237281280,FULL_STACK
CBY-Srv01-ET.002dbnddsoheddwndelsvhi3ne.bx.internal.cloudapp.net,HOST-F75F5A9CDCCE5510,jenkins.war,PROCESS_GROUP_INSTANCE-74D96971C9BBE5A4,JAVA,Y,167,2022-11-09 08:06:12,2022-09-26 10:23:00,2023-01-16 17:51:00,1.253.208.20221104-130416,8345939968,FULL_STACK
CBY-Srv01-ET.002dbnddsoheddwndelsvhi3ne.bx.internal.cloudapp.net,HOST-F75F5A9CDCCE5510,tomcat*,PROCESS_GROUP_INSTANCE-9576F9954EAC746F,JAVA,Y,11,2022-09-29 13:06:22,2022-09-28 13:29:00,2023-01-16 17:51:00,1.253.178.20221028-125510,8345939968,FULL_STACK
CBY-Srv01-ET.002dbnddsoheddwndelsvhi3ne.bx.internal.cloudapp.net,HOST-F75F5A9CDCCE5510,SpringBoot org.sasanlabs.Application,PROCESS_GROUP_INSTANCE-D63AE4C6D9727FD5,JAVA,Y,38,2022-10-13 12:12:40,2022-09-28 14:55:00,2023-01-16 17:51:00,1.251.205.20221010-105805,8345939968,FULL_STACK
gary-the-whale.jtsawlxkadpejc12gfvenmyjph.ax.internal.cloudapp.net,HOST-F9CF1145AA23F4A6,org.sasanlabs.Application,PROCESS_GROUP_INSTANCE-124302B6A5A63F6E,JAVA,Y,38,,2022-06-23 15:11:00,2023-01-16 17:48:00,1.243.153.20220619-113110,3590361088,FULL_STACK
gary-the-whale.jtsawlxkadpejc12gfvenmyjph.ax.internal.cloudapp.net,HOST-F9CF1145AA23F4A6,tomcat,PROCESS_GROUP_INSTANCE-24037B84A297D7FB,JAVA,Y,16,,2022-06-23 15:11:00,2023-01-16 17:48:00,1.243.153.20220619-113110,3590361088,FULL_STACK
